✓,Card,Type,Color,View,Picked By,
✓,Figure of Destiny,Creature — Kithkin,WR,View,flutterdev,$G$30
,Imodane's Recruiter,Creature — Human Knight,WR,View,,
✓,"Joshua, Phoenix's Dominant",Legendary Creature — Human Noble Wizard,WR,View,flutterdev,$G$45
,The Jolly Balloon Man,Legendary Creature — Human Clown,WR,View,,
✓,Lightning Helix,Instant,WR,View,flutterdev,$G$42
,Talisman of Conviction,Artifact,WR,View,,
✓,Showdown of the Skalds,Enchantment — Saga,WR,View,Aspi,$F$31
✓,Elegant Parlor,Land — Mountain Plains,WR,View,flutterdev,$G$34
✓,Inspiring Vantage,Land,WR,View,Aspi,$F$32
,Restless Bivouac,Land,WR,View,,
✓,Sacred Foundry,Land — Mountain Plains,WR,View,flutterdev,$G$24
✓,Sacred Foundry 2,Land — Mountain Plains,WR,View,Aspi,$F$30
✓,Voice of Resurgence,Creature — Elemental,WG,View,MossViper,$H$47
✓,Knight of Autumn,Creature — Dryad Knight,WG,View,MossViper,$H$44
✓,Knight of the Reliquary,Creature — Human Knight,WG,View,rocketman7,$K$37
,Brightglass Gearhulk,Artifact Creature — Construct,WG,View,,
,Dromoka's Command,Instant,WG,View,,
✓,Cosmic Rebirth,Instant,WG,View,rocketman7,$K$47
✓,Lush Portico,Land — Forest Plains,WG,View,whalematron,$J$27
✓,Razorverge Thicket,Land,WG,View,whalematron,$J$40
,Stirring Wildwood,Land,WG,View,,
✓,Temple Garden,Land — Forest Plains,WG,View,rocketman7,$K$26
✓,Temple Garden 2,Land — Forest Plains,WG,View,Coopergfrye,$L$26
,Invasion of Amonkhet,Battle — Siege,UB,View,,
✓,Baleful Strix,Artifact Creature — Bird,UB,View,Patrick,$C$16
✓,"Yuriko, the Tiger's Shadow",Legendary Creature — Human Ninja,UB,View,Patrick,$C$48
✓,Fallen Shinobi,Creature — Zombie Ninja,UB,View,Patrick,$C$18
,Kaito Shizuki,Legendary Planeswalker — Kaito,UB,View,,
✓,"Kaito, Bane of Nightmares",Legendary Planeswalker — Kaito,UB,View,Patrick,$C$42
✓,Creeping Tar Pit,Land,UB,View,Patrick,$C$24
✓,Darkslick Shores,Land,UB,View,Patrick,$C$17
✓,Undercity Sewers,Land — Island Swamp,UB,View,jakebrowne,$D$17
✓,Watery Grave,Land — Island Swamp,UB,View,Patrick,$C$15
✓,Watery Grave 2,Land — Island Swamp,UB,View,jakebrowne,$D$16
✓,Third Path Iconoclast,Creature — Human Monk,UR,View,Aspi,$F$17
✓,"Lutri, the Spellchaser",Legendary Creature — Elemental Otter,UR,View,Skorish,$I$11
✓,Vivi Ornitier,Legendary Creature — Wizard,UR,View,Skorish,$I$13
✓,Flame of Anor,Instant,UR,View,Aspi,$F$18
✓,Prismari Command,Instant,UR,View,Skorish,$I$38
,Magma Opus,Instant,UR,View,,
✓,Expressive Iteration,Sorcery,UR,View,Skorish,$I$16
✓,Silverbluff Bridge,Artifact Land,UR,View,Aspi,$F$41
✓,Talisman of Creativity,Artifact,UR,View,Skorish,$I$32
✓,"Saheeli, Sublime Artificer",Legendary Planeswalker — Saheeli,UR,View,Skorish,$I$23
✓,Spirebluff Canal,Land,UR,View,Aspi,$F$19
✓,Steam Vents,Land — Island Mountain,UR,View,Aspi,$F$14
✓,Steam Vents 2,Land — Island Mountain,UR,View,Skorish,$I$14
✓,Thundering Falls,Land — Island Mountain,UR,View,Skorish,$I$25
✓,Genemorph Imago,Creature — Insect Druid,UG,View,whalematron,$J$45
,Hydroid Krasis,Creature — Jellyfish Hydra Beast,UG,View,,
✓,Kishla Skimmer,Creature — Bird Scout,UG,View,MossViper,$H$48
✓,"Uro, Titan of Nature's Wrath",Legendary Creature — Elder Giant,UG,View,whalematron,$J$8
✓,Repulsive Mutation,Instant,UG,View,Coopergfrye,$L$45
,"Tamiyo, Collector of Tales",Legendary Planeswalker — Tamiyo,UG,View,,
✓,Botanical Sanctum,Land,UG,View,Coopergfrye,$L$44
✓,Breeding Pool,Land — Forest Island,UG,View,whalematron,$J$22
✓,Breeding Pool 2,Land — Forest Island,UG,View,whalematron,$J$35
✓,Hedge Maze,Land — Forest Island,UG,View,whalematron,$J$23
✓,Restless Vinestalk,Land,UG,View,whalematron,$J$47
✓,Bloodtithe Harvester,Creature — Vampire,BR,View,w1dcrd,$E$36
✓,"Kroxa, Titan of Death's Hunger",Legendary Creature — Elder Giant,BR,View,w1dcrd,$E$44
✓,"Valki, God of Lies",Legendary Creature — God,BR,View,Patrick,$C$39
✓,"Alesha, Who Laughs at Fate",Legendary Creature — Human Warrior,BR,View,w1dcrd,$E$34
✓,Carnage Interpreter,Creature — Devil Detective,BR,View,Patrick,$C$20
,"Judith, the Scourge Diva",Legendary Creature — Human Shaman,BR,View,,
✓,Mayhem Devil,Creature — Devil,BR,View,MossViper,$H$33
✓,Kolaghan's Command,Instant,BR,View,w1dcrd,$E$35
✓,Blackcleave Cliffs,Land,BR,View,w1dcrd,$E$32
✓,Blood Crypt,Land — Swamp Mountain,BR,View,w1dcrd,$E$31
✓,Blood Crypt 2,Land — Swamp Mountain,BR,View,w1dcrd,$E$30
✓,Raucous Theater,Land — Swamp Mountain,BR,View,w1dcrd,$E$29
✓,Restless Vents,Land,BR,View,w1dcrd,$E$33
✓,Deathrite Shaman,Creature — Elf Shaman,BG,View,MossViper,$H$16
,Wight of the Reliquary,Creature — Zombie Knight,BG,View,,
✓,Glissa Sunslayer,Legendary Creature — Phyrexian Zombie Elf,BG,View,whalematron,$J$46
✓,"Polukranos, Unchained",Legendary Creature — Zombie Hydra,BG,View,whalematron,$J$48
✓,The Gitrog Monster,Legendary Creature — Frog Horror,BG,View,rocketman7,$K$40
✓,Tear Asunder,Instant,BG,View,rocketman7,$K$35
✓,Life // Death,Sorcery,BG,View,Patrick,$C$25
✓,"Grist, the Hunger Tide",Legendary Planeswalker — Grist,BG,View,whalematron,$J$20
✓,Blooming Marsh,Land,BG,View,whalematron,$J$24
✓,Overgrown Tomb,Land — Swamp Forest,BG,View,rocketman7,$K$20
✓,Overgrown Tomb 2,Land — Swamp Forest,BG,View,whalematron,$J$21
✓,Restless Cottage,Land,BG,View,MossViper,$H$26
✓,Underground Mortuary,Land — Swamp Forest,BG,View,MossViper,$H$21
,Territorial Kavu,Creature — Kavu,RG,View,,
,"Migloz, Maze Crusher",Legendary Creature — Phyrexian Beast,RG,View,,
,Bloodbraid Elf,Creature — Elf Berserker,RG,View,,
,Huntmaster of the Fells,Creature — Human Werewolf,RG,View,,
,"Etali, Primal Conqueror",Legendary Creature — Elder Dinosaur,RG,View,,
,Escape to the Wilds,Sorcery,RG,View,,
✓,Wrenn and Six,Legendary Planeswalker — Wrenn,RG,View,rocketman7,$K$30
✓,Commercial District,Land — Mountain Forest,RG,View,rocketman7,$K$31
,Copperline Gorge,Land,RG,View,,
✓,Raging Ravine,Land,RG,View,rocketman7,$K$45
✓,Stomping Ground,Land — Mountain Forest,RG,View,MossViper,$H$22
✓,Stomping Ground 2,Land — Mountain Forest,RG,View,rocketman7,$K$29
✓,"Raffine, Scheming Seer",Legendary Creature — Sphinx Demon,WUB,View,Patrick,$C$43
✓,Noble Hierarch,Creature — Human Druid,WUG,View,whalematron,$J$11
,Norman Osborn,Legendary Creature — Human Scientist Villain,UBR,View,,
,"Loot, the Pathfinder",Legendary Creature — Beast Noble,URG,View,,
✓,Ignoble Hierarch,Creature — Goblin Shaman,BRG,View,rocketman7,$K$15
✓,"Korvold, Fae-Cursed King",Legendary Creature — Dragon Noble,BRG,View,Aspi,$F$39
,"Golos, Tireless Pilgrim",Legendary Artifact Creature — Scout,WUBRG,View,,
✓,Gingerbrute,Artifact Creature — Food Golem,C,View,w1dcrd,$E$14
✓,"Syr Ginger, the Meal Ender",Legendary Artifact Creature — Food Knight,C,View,Patrick,$C$40
,Anticausal Vestige,Creature — Eldrazi,C,View,,
✓,Wurmcoil Engine,Artifact Creature — Phyrexian Wurm,C,View,whalematron,$J$43
✓,Myr Battlesphere,Artifact Creature — Myr Construct,C,View,Skorish,$I$46
,Cityscape Leveler,Artifact Creature — Construct,C,View,,
✓,Chrome Mox,Artifact,C,View,Skorish,$I$5
✓,Mishra's Bauble,Artifact,C,View,Aspi,$F$10
✓,Mox Opal,Legendary Artifact,C,View,Skorish,$I$15
✓,Currency Converter,Artifact,C,View,Skorish,$I$6
✓,Retrofitter Foundry,Artifact,C,View,Skorish,$I$19
✓,Soul-Guide Lantern,Artifact,C,View,jakebrowne,$D$21
✓,Agatha's Soul Cauldron,Legendary Artifact,C,View,flutterdev,$G$22
✓,Reckoner Bankbuster,Artifact — Vehicle,C,View,jakebrowne,$D$27
✓,Smuggler's Copter,Artifact — Vehicle,C,View,flutterdev,$G$6
,Coalition Relic,Artifact,C,View,,
✓,Monument to Endurance,Artifact,C,View,w1dcrd,$E$45
✓,Nettlecyst,Artifact — Equipment,C,View,Skorish,$I$47
✓,Palantír of Orthanc,Legendary Artifact,C,View,w1dcrd,$E$11
,The Aetherspark,Legendary Artifact Planeswalker — Equipment,C,View,,
✓,Batterskull,Artifact — Equipment,C,View,Coopergfrye,$L$46
✓,Dissection Tools,Artifact — Equipment,C,View,Coopergfrye,$L$31
✓,"Skysovereign, Consul Flagship",Legendary Artifact — Vehicle,C,View,Skorish,$I$44
,Nexus of Becoming,Artifact,C,View,,
,The Endstone,Legendary Artifact,C,View,,
✓,"Karn, Scion of Urza",Legendary Planeswalker — Karn,C,View,Skorish,$I$26
✓,Ancient Tomb,Land,C,View,rocketman7,$K$4
✓,Arid Mesa,Land,C,View,flutterdev,$G$13
✓,Arid Mesa 2,Land,C,View,flutterdev,$G$14
,Blinkmoth Nexus,Land,C,View,,
✓,Bloodstained Mire,Land,C,View,MossViper,$H$12
✓,Bloodstained Mire 2,Land,C,View,MossViper,$H$13
✓,Field of the Dead,Land,C,View,rocketman7,$K$33
✓,Flooded Strand,Land,C,View,jakebrowne,$D$12
✓,Flooded Strand 2,Land,C,View,Coopergfrye,$L$11
✓,Marsh Flats,Land,C,View,Patrick,$C$11
✓,Marsh Flats 2,Land,C,View,Coopergfrye,$L$13
✓,Misty Rainforest,Land,C,View,whalematron,$J$10
✓,Misty Rainforest 2,Land,C,View,whalematron,$J$12
✓,Mutavault,Land,C,View,w1dcrd,$E$15
✓,Polluted Delta,Land,C,View,Patrick,$C$12
✓,Polluted Delta 2,Land,C,View,Aspi,$F$12
✓,Prismatic Vista,Land,C,View,Coopergfrye,$L$14
✓,Scalding Tarn,Land,C,View,Aspi,$F$7
✓,Scalding Tarn 2,Land,C,View,Skorish,$I$10
✓,Strip Mine,Land,C,View,rocketman7,$K$5
✓,Verdant Catacombs,Land,C,View,Patrick,$C$13
✓,Verdant Catacombs 2,Land,C,View,MossViper,$H$14
✓,Windswept Heath,Land,C,View,rocketman7,$K$14
✓,Windswept Heath 2,Land,C,View,whalematron,$J$14
✓,Wooded Foothills,Land,C,View,rocketman7,$K$12
✓,Wooded Foothills 2,Land,C,View,whalematron,$J$13
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
,,,,,,$LCR$56511
