,Card,Type,Color,View,Picked By,
✓,Showdown of the Skalds,Enchantment — Saga,WR,View,Ulavala,$D$33
✓,Elegant Parlor,Land — Mountain Plains,WR,View,Ulavala,$D$29
✓,Inspiring Vantage,Land,WR,View,Ulavala,$D$25
✓,Restless Bivouac,Land,WR,View,nova,$J$43
✓,Sacred Foundry,Land — Mountain Plains,WR,View,nova,$J$18
✓,Sacred Foundry 2,Land — Mountain Plains,WR,View,Ulavala,$D$9
,Voice of Resurgence,Creature — Elemental,WG,View,,
,Knight of Autumn,Creature — Dryad Knight,WG,View,,
,Knight of the Reliquary,Creature — Human Knight,WG,View,,
,Brightglass Gearhulk,Artifact Creature — Construct,WG,View,,
,Cosmic Rebirth,Instant,WG,View,,
✓,Lush Portico,Land — Forest Plains,WG,View,samp,$H$38
,Razorverge Thicket,Land,WG,View,,
,Stirring Wildwood,Land,WG,View,,
✓,Temple Garden,Land — Forest Plains,WG,View,samp,$H$24
✓,Temple Garden 2,Land — Forest Plains,WG,View,rocketman,$C$25
✓,Baleful Strix,Artifact Creature — Bird,UB,View,MONERSTOR,$F$29
,"Lazav, Wearer of Faces",Legendary Creature — Shapeshifter Detective,UB,View,,
,"Rona, Herald of Invasion",Legendary Creature — Human Wizard,UB,View,,
,"Yuriko, the Tiger's Shadow",Legendary Creature — Human Ninja,UB,View,,
✓,Fallen Shinobi,Creature — Zombie Ninja,UB,View,MONERSTOR,$F$27
✓,Talisman of Dominance,Artifact,UB,View,MONERSTOR,$F$43
✓,Kaito Shizuki,Legendary Planeswalker — Kaito,UB,View,MONERSTOR,$F$36
✓,"Kaito, Bane of Nightmares",Legendary Planeswalker — Kaito,UB,View,MONERSTOR,$F$47
✓,Creeping Tar Pit,Land,UB,View,MONERSTOR,$F$28
✓,Darkslick Shores,Land,UB,View,MONERSTOR,$F$35
✓,Undercity Sewers,Land — Island Swamp,UB,View,MONERSTOR,$F$16
✓,Watery Grave,Land — Island Swamp,UB,View,MONERSTOR,$F$11
✓,Watery Grave 2,Land — Island Swamp,UB,View,MONERSTOR,$F$26
✓,Sprite Dragon,Creature — Faerie Dragon,UR,View,w1dcrd,$L$41
✓,Third Path Iconoclast,Creature — Human Monk,UR,View,nova,$J$19
✓,"Lutri, the Spellchaser",Legendary Creature — Elemental Otter,UR,View,whalematron,$I$22
✓,Vivi Ornitier,Legendary Creature — Wizard,UR,View,w1dcrd,$L$11
✓,Prismari Command,Instant,UR,View,w1dcrd,$L$40
,Magma Opus,Instant,UR,View,,
✓,Expressive Iteration,Sorcery,UR,View,w1dcrd,$L$42
✓,Silverbluff Bridge,Artifact Land,UR,View,w1dcrd,$L$20
✓,Talisman of Creativity,Artifact,UR,View,nova,$J$34
✓,"Saheeli, Sublime Artificer",Legendary Planeswalker — Saheeli,UR,View,nova,$J$15
✓,Spirebluff Canal,Land,UR,View,w1dcrd,$L$17
✓,Steam Vents,Land — Island Mountain,UR,View,w1dcrd,$L$14
✓,Steam Vents 2,Land — Island Mountain,UR,View,w1dcrd,$L$15
✓,Thundering Falls,Land — Island Mountain,UR,View,w1dcrd,$L$16
✓,"Tamiyo, Inquisitive Student",Legendary Creature — Moonfolk Wizard,UG,View,rocketman,$C$4
,Genemorph Imago,Creature — Insect Druid,UG,View,,
✓,Hydroid Krasis,Creature — Jellyfish Hydra Beast,UG,View,balbadorf,$K$27
✓,Kishla Skimmer,Creature — Bird Scout,UG,View,balbadorf,$K$19
✓,"Uro, Titan of Nature's Wrath",Legendary Creature — Elder Giant,UG,View,rocketman,$C$6
✓,"Tamiyo, Collector of Tales",Legendary Planeswalker — Tamiyo,UG,View,rocketman,$C$42
,Botanical Sanctum,Land,UG,View,,
✓,Breeding Pool,Land — Forest Island,UG,View,rocketman,$C$15
✓,Breeding Pool 2,Land — Forest Island,UG,View,balbadorf,$K$26
✓,Hedge Maze,Land — Forest Island,UG,View,rocketman,$C$29
,Restless Vinestalk,Land,UG,View,,
✓,Bloodtithe Harvester,Creature — Vampire,BR,View,whalematron,$I$31
✓,"Kroxa, Titan of Death's Hunger",Legendary Creature — Elder Giant,BR,View,whalematron,$I$47
,"Alesha, Who Laughs at Fate",Legendary Creature — Human Warrior,BR,View,,
,"Judith, the Scourge Diva",Legendary Creature — Human Shaman,BR,View,,
✓,Mayhem Devil,Creature — Devil,BR,View,Aspi,$G$46
✓,Kolaghan's Command,Instant,BR,View,whalematron,$I$41
,Claim // Fame,Sorcery,BR,View,,
✓,Blackcleave Cliffs,Land,BR,View,Aspi,$G$22
✓,Blood Crypt,Land — Swamp Mountain,BR,View,Aspi,$G$12
✓,Blood Crypt 2,Land — Swamp Mountain,BR,View,whalematron,$I$12
✓,Raucous Theater,Land — Swamp Mountain,BR,View,whalematron,$I$21
✓,Restless Vents,Land,BR,View,Aspi,$G$29
✓,Deathrite Shaman,Creature — Elf Shaman,BG,View,Aspi,$G$14
,Wight of the Reliquary,Creature — Zombie Knight,BG,View,,
✓,Glissa Sunslayer,Legendary Creature — Phyrexian Zombie Elf,BG,View,balbadorf,$K$29
,The Gitrog Monster,Legendary Creature — Frog Horror,BG,View,,
,Abrupt Decay,Instant,BG,View,,
,Tear Asunder,Instant,BG,View,,
✓,"Grist, the Hunger Tide",Legendary Planeswalker — Grist,BG,View,Aspi,$G$40
✓,Blooming Marsh,Land,BG,View,Aspi,$G$38
✓,Overgrown Tomb,Land — Swamp Forest,BG,View,Aspi,$G$37
✓,Overgrown Tomb 2,Land — Swamp Forest,BG,View,Aspi,$G$36
,Restless Cottage,Land,BG,View,,
✓,Underground Mortuary,Land — Swamp Forest,BG,View,Aspi,$G$39
✓,Territorial Kavu,Creature — Kavu,RG,View,balbadorf,$K$47
,"Migloz, Maze Crusher",Legendary Creature — Phyrexian Beast,RG,View,,
✓,Bloodbraid Elf,Creature — Elf Berserker,RG,View,balbadorf,$K$44
,Huntmaster of the Fells,Creature — Human Werewolf,RG,View,,
✓,"Etali, Primal Conqueror",Legendary Creature — Elder Dinosaur,RG,View,balbadorf,$K$45
✓,Wrenn and Six,Legendary Planeswalker — Wrenn,RG,View,balbadorf,$K$5
✓,Commercial District,Land — Mountain Forest,RG,View,balbadorf,$K$46
,Copperline Gorge,Land,RG,View,,
,Raging Ravine,Land,RG,View,,
✓,Stomping Ground,Land — Mountain Forest,RG,View,balbadorf,$K$16
,Stomping Ground 2,Land — Mountain Forest,RG,View,,
,"Raffine, Scheming Seer",Legendary Creature — Sphinx Demon,WUB,View,,
,"Satya, Aetherflux Genius",Legendary Creature — Human Artificer,WUR,View,,
✓,Noble Hierarch,Creature — Human Druid,WUG,View,samp,$H$12
✓,Urban Retreat,Land,WUG,View,rocketman,$C$48
✓,Norman Osborn,Legendary Creature — Human Scientist Villain,UBR,View,MONERSTOR,$F$37
,Oscorp Industries,Land,UBR,View,,
✓,"Loot, the Pathfinder",Legendary Creature — Beast Noble,URG,View,balbadorf,$K$48
✓,Ignoble Hierarch,Creature — Goblin Shaman,BRG,View,samp,$H$17
✓,"Korvold, Fae-Cursed King",Legendary Creature — Dragon Noble,BRG,View,Aspi,$G$41
✓,"Golos, Tireless Pilgrim",Legendary Artifact Creature — Scout,WUBRG,View,balbadorf,$K$30
✓,Hangarback Walker,Artifact Creature — Construct,C,View,nova,$J$29
✓,Gingerbrute,Artifact Creature — Food Golem,C,View,w1dcrd,$L$30
,Scrawling Crawler,Artifact Creature — Phyrexian Construct,C,View,,
✓,Wurmcoil Engine,Artifact Creature — Phyrexian Wurm,C,View,samp,$H$34
✓,Cityscape Leveler,Artifact Creature — Construct,C,View,samp,$H$36
✓,Chrome Mox,Artifact,C,View,MONERSTOR,$F$4
✓,Mishra's Bauble,Artifact,C,View,nova,$J$6
✓,Mox Opal,Legendary Artifact,C,View,nova,$J$5
,Chromatic Sphere,Artifact,C,View,,
✓,Chromatic Star,Artifact,C,View,nova,$J$21
✓,Currency Converter,Artifact,C,View,MONERSTOR,$F$5
✓,Relic of Progenitus,Artifact,C,View,nova,$J$22
✓,Retrofitter Foundry,Artifact,C,View,nova,$J$25
✓,Agatha's Soul Cauldron,Legendary Artifact,C,View,w1dcrd,$L$10
✓,Reckoner Bankbuster,Artifact — Vehicle,C,View,whalematron,$I$37
✓,Smuggler's Copter,Artifact — Vehicle,C,View,samp,$H$7
,Monument to Endurance,Artifact,C,View,,
✓,Nettlecyst,Artifact — Equipment,C,View,nova,$J$9
✓,Palantír of Orthanc,Legendary Artifact,C,View,samp,$H$18
✓,Sword of Fire and Ice,Artifact — Equipment,C,View,Ulavala,$D$46
✓,The Aetherspark,Legendary Artifact Planeswalker — Equipment,C,View,samp,$H$45
✓,Batterskull,Artifact — Equipment,C,View,nova,$J$23
✓,"Skysovereign, Consul Flagship",Legendary Artifact — Vehicle,C,View,samp,$H$35
✓,Nexus of Becoming,Artifact,C,View,samp,$H$37
✓,Kaldra Compleat,Legendary Artifact — Equipment,C,View,nova,$J$42
✓,"Karn, Scion of Urza",Legendary Planeswalker — Karn,C,View,nova,$J$24
✓,Ancient Tomb,Land,C,View,samp,$H$4
✓,Arid Mesa,Land,C,View,Ulavala,$D$12
✓,Arid Mesa 2,Land,C,View,Ulavala,$D$11
✓,Blinkmoth Nexus,Land,C,View,nova,$J$41
✓,Bloodstained Mire,Land,C,View,whalematron,$I$10
✓,Bloodstained Mire 2,Land,C,View,whalematron,$I$11
✓,Field of the Dead,Land,C,View,balbadorf,$K$31
✓,Flooded Strand,Land,C,View,rocketman,$C$14
✓,Flooded Strand 2,Land,C,View,rocketman,$C$16
✓,Marsh Flats,Land,C,View,Aspi,$G$16
✓,Marsh Flats 2,Land,C,View,Aspi,$G$18
✓,Misty Rainforest,Land,C,View,samp,$H$13
✓,Misty Rainforest 2,Land,C,View,rocketman,$C$13
✓,Mutavault,Land,C,View,drewshaver,$E$34
✓,Polluted Delta,Land,C,View,MONERSTOR,$F$12
✓,Polluted Delta 2,Land,C,View,Aspi,$G$11
✓,Prismatic Vista,Land,C,View,MONERSTOR,$F$13
✓,Scalding Tarn,Land,C,View,w1dcrd,$L$12
✓,Scalding Tarn 2,Land,C,View,w1dcrd,$L$13
✓,Strip Mine,Land,C,View,balbadorf,$K$4
✓,Verdant Catacombs,Land,C,View,balbadorf,$K$12
✓,Verdant Catacombs 2,Land,C,View,samp,$H$14
✓,Windswept Heath,Land,C,View,samp,$H$8
✓,Windswept Heath 2,Land,C,View,samp,$H$9
✓,Wooded Foothills,Land,C,View,samp,$H$10
✓,Wooded Foothills 2,Land,C,View,balbadorf,$K$10
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
,,,,,,$IXO$51264
