✓,Card,Type,Color,View,Picked By,
✓,Hallowed Fountain 2,Land — Plains Island,WU,View,LastAbzan,$I$11
✓,Meticulous Archive,Land — Plains Island,WU,View,Max,$J$33
✓,Seachrome Coast,Land,WU,View,Max,$J$43
✓,"Cecil, Dark Knight",Legendary Creature — Human Knight,WB,View,arborist77,$E$33
✓,Priest of Fell Rites,Creature — Human Warlock,WB,View,LastAbzan,$I$48
✓,Sorin of House Markov,Legendary Creature — Human Noble,WB,View,LastAbzan,$I$44
✓,Lurrus of the Dream-Den,Legendary Creature — Cat Nightmare,WB,View,Aspi,$D$22
✓,"Teysa, Opulent Oligarch",Legendary Creature — Human Advisor,WB,View,Aspi,$D$42
✓,Damn,Sorcery,WB,View,LastAbzan,$I$29
✓,Lingering Souls,Sorcery,WB,View,Max,$J$17
✓,Concealed Courtyard,Land,WB,View,Aspi,$D$30
✓,Godless Shrine,Land — Plains Swamp,WB,View,LastAbzan,$I$24
✓,Godless Shrine 2,Land — Plains Swamp,WB,View,Aspi,$D$31
✓,Restless Fortress,Land,WB,View,Aspi,$D$33
✓,Shadowy Backstreet,Land — Plains Swamp,WB,View,Aspi,$D$29
✓,Figure of Destiny,Creature — Kithkin,WR,View,Mr. Fancypants,$K$19
✓,Imodane's Recruiter,Creature — Human Knight,WR,View,Neo,$F$43
✓,"Joshua, Phoenix's Dominant",Legendary Creature — Human Noble Wizard,WR,View,Mr. Fancypants,$K$43
✓,The Jolly Balloon Man,Legendary Creature — Human Clown,WR,View,Mr. Fancypants,$K$44
✓,Lightning Helix,Instant,WR,View,Mr. Fancypants,$K$35
✓,Talisman of Conviction,Artifact,WR,View,Max,$J$47
✓,Showdown of the Skalds,Enchantment — Saga,WR,View,Aspi,$D$43
✓,Elegant Parlor,Land — Mountain Plains,WR,View,Mr. Fancypants,$K$28
✓,Inspiring Vantage,Land,WR,View,Mr. Fancypants,$K$26
✓,Restless Bivouac,Land,WR,View,Neo,$F$44
✓,Sacred Foundry,Land — Mountain Plains,WR,View,Mr. Fancypants,$K$14
✓,Sacred Foundry 2,Land — Mountain Plains,WR,View,Mr. Fancypants,$K$18
✓,Voice of Resurgence,Creature — Elemental,WG,View,MurmurTwin,$G$45
✓,Knight of Autumn,Creature — Dryad Knight,WG,View,MurmurTwin,$G$46
✓,Knight of the Reliquary,Creature — Human Knight,WG,View,Ray Bees,$H$48
✓,Brightglass Gearhulk,Artifact Creature — Construct,WG,View,Ray Bees,$H$47
✓,Dromoka's Command,Instant,WG,View,Greg,$M$48
✓,Lush Portico,Land — Forest Plains,WG,View,baronvonfonz,$L$48
✓,Razorverge Thicket,Land,WG,View,Keith,$N$48
✓,Stirring Wildwood,Land,WG,View,Keith,$N$47
✓,Temple Garden,Land — Forest Plains,WG,View,MurmurTwin,$G$47
✓,Temple Garden 2,Land — Forest Plains,WG,View,MurmurTwin,$G$48
✓,Baleful Strix,Artifact Creature — Bird,UB,View,LastAbzan,$I$20
✓,"Yuriko, the Tiger's Shadow",Legendary Creature — Human Ninja,UB,View,Ray Bees,$H$37
✓,Fallen Shinobi,Creature — Zombie Ninja,UB,View,Ray Bees,$H$39
✓,Kaito Shizuki,Legendary Planeswalker — Kaito,UB,View,Ray Bees,$H$40
✓,"Kaito, Bane of Nightmares",Legendary Planeswalker — Kaito,UB,View,Ray Bees,$H$38
✓,Creeping Tar Pit,Land,UB,View,Ray Bees,$H$36
✓,Darkslick Shores,Land,UB,View,Ray Bees,$H$35
✓,Undercity Sewers,Land — Island Swamp,UB,View,LastAbzan,$I$17
✓,Watery Grave,Land — Island Swamp,UB,View,Max,$J$11
✓,Watery Grave 2,Land — Island Swamp,UB,View,LastAbzan,$I$15
✓,Third Path Iconoclast,Creature — Human Monk,UR,View,Max,$J$24
✓,"Lutri, the Spellchaser",Legendary Creature — Elemental Otter,UR,View,Max,$J$16
✓,Vivi Ornitier,Legendary Creature — Wizard,UR,View,Greg,$M$13
✓,Flame of Anor,Instant,UR,View,Greg,$M$31
✓,Expressive Iteration,Sorcery,UR,View,Greg,$M$22
✓,Silverbluff Bridge,Artifact Land,UR,View,Greg,$M$35
✓,Talisman of Creativity,Artifact,UR,View,Mr. Fancypants,$K$39
✓,"Saheeli, Sublime Artificer",Legendary Planeswalker — Saheeli,UR,View,Greg,$M$23
✓,Spirebluff Canal,Land,UR,View,Greg,$M$37
✓,Steam Vents,Land — Island Mountain,UR,View,Greg,$M$10
✓,Steam Vents 2,Land — Island Mountain,UR,View,Max,$J$12
✓,Thundering Falls,Land — Island Mountain,UR,View,Greg,$M$30
✓,Genemorph Imago,Creature — Insect Druid,UG,View,Keith,$N$41
✓,Hydroid Krasis,Creature — Jellyfish Hydra Beast,UG,View,Keith,$N$35
✓,Kishla Skimmer,Creature — Bird Scout,UG,View,Keith,$N$36
✓,"Uro, Titan of Nature's Wrath",Legendary Creature — Elder Giant,UG,View,Keith,$N$11
✓,Repulsive Mutation,Instant,UG,View,Keith,$N$40
✓,Botanical Sanctum,Land,UG,View,Keith,$N$43
✓,Breeding Pool,Land — Forest Island,UG,View,Keith,$N$12
✓,Breeding Pool 2,Land — Forest Island,UG,View,Aspi,$D$45
✓,Hedge Maze,Land — Forest Island,UG,View,Keith,$N$39
✓,Restless Vinestalk,Land,UG,View,Keith,$N$44
✓,Bloodtithe Harvester,Creature — Vampire,BR,View,arborist77,$E$22
✓,"Kroxa, Titan of Death's Hunger",Legendary Creature — Elder Giant,BR,View,arborist77,$E$25
✓,"Alesha, Who Laughs at Fate",Legendary Creature — Human Warrior,BR,View,arborist77,$E$45
✓,Carnage Interpreter,Creature — Devil Detective,BR,View,Neo,$F$7
✓,Mayhem Devil,Creature — Devil,BR,View,baronvonfonz,$L$31
✓,Kolaghan's Command,Instant,BR,View,Max,$J$32
✓,Blackcleave Cliffs,Land,BR,View,arborist77,$E$36
✓,Blood Crypt,Land — Swamp Mountain,BR,View,baronvonfonz,$L$12
✓,Blood Crypt 2,Land — Swamp Mountain,BR,View,arborist77,$E$13
✓,Raucous Theater,Land — Swamp Mountain,BR,View,arborist77,$E$24
✓,Restless Vents,Land,BR,View,arborist77,$E$38
✓,Deathrite Shaman,Creature — Elf Shaman,BG,View,baronvonfonz,$L$7
✓,Wight of the Reliquary,Creature — Zombie Knight,BG,View,baronvonfonz,$L$45
✓,Glissa Sunslayer,Legendary Creature — Phyrexian Zombie Elf,BG,View,baronvonfonz,$L$47
✓,Beifong's Bounty Hunters,Creature — Human Mercenary,BG,View,baronvonfonz,$L$16
✓,"Polukranos, Unchained",Legendary Creature — Zombie Hydra,BG,View,Jack,$C$47
✓,Tear Asunder,Instant,BG,View,Greg,$M$46
✓,Life // Death,Sorcery,BG,View,Jack,$C$41
✓,"Grist, the Hunger Tide",Legendary Planeswalker — Grist,BG,View,baronvonfonz,$L$33
✓,Blooming Marsh,Land,BG,View,Aspi,$D$48
✓,Overgrown Tomb,Land — Swamp Forest,BG,View,baronvonfonz,$L$32
✓,Overgrown Tomb 2,Land — Swamp Forest,BG,View,baronvonfonz,$L$36
✓,Restless Cottage,Land,BG,View,Aspi,$D$47
✓,Underground Mortuary,Land — Swamp Forest,BG,View,baronvonfonz,$L$43
✓,Questing Druid,Creature — Human Druid,RG,View,Neo,$F$31
✓,"Migloz, Maze Crusher",Legendary Creature — Phyrexian Beast,RG,View,Neo,$F$32
✓,Bloodbraid Elf,Creature — Elf Berserker,RG,View,Neo,$F$35
✓,Huntmaster of the Fells,Creature — Human Werewolf,RG,View,baronvonfonz,$L$24
✓,"Etali, Primal Conqueror",Legendary Creature — Elder Dinosaur,RG,View,arborist77,$E$27
✓,Escape to the Wilds,Sorcery,RG,View,Keith,$N$38
✓,Wrenn and Six,Legendary Planeswalker — Wrenn,RG,View,baronvonfonz,$L$28
✓,Commercial District,Land — Mountain Forest,RG,View,Keith,$N$27
✓,Copperline Gorge,Land,RG,View,Neo,$F$29
✓,Raging Ravine,Land,RG,View,Neo,$F$30
✓,Stomping Ground,Land — Mountain Forest,RG,View,Keith,$N$13
✓,Stomping Ground 2,Land — Mountain Forest,RG,View,baronvonfonz,$L$18
✓,"Raffine, Scheming Seer",Legendary Creature — Sphinx Demon,WUB,View,LastAbzan,$I$46
✓,Jeskai Revelation,Instant,WUR,View,Mr. Fancypants,$K$31
✓,Noble Hierarch,Creature — Human Druid,WUG,View,Keith,$N$5
✓,Norman Osborn,Legendary Creature — Human Scientist Villain,UBR,View,Max,$J$26
✓,"Leovold, Emissary of Trest",Legendary Creature — Elf Advisor,UBG,View,Greg,$M$44
✓,Eshki Dragonclaw,Legendary Creature — Human Warrior,URG,View,Keith,$N$45
✓,"Loot, the Pathfinder",Legendary Creature — Beast Noble,URG,View,Keith,$N$42
✓,Ignoble Hierarch,Creature — Goblin Shaman,BRG,View,MurmurTwin,$G$5
✓,"Korvold, Fae-Cursed King",Legendary Creature — Dragon Noble,BRG,View,baronvonfonz,$L$46
✓,Gingerbrute,Artifact Creature — Food Golem,C,View,Ray Bees,$H$45
✓,Phyrexian Revoker,Artifact Creature — Phyrexian Horror,C,View,Greg,$M$41
✓,"Syr Ginger, the Meal Ender",Legendary Artifact Creature — Food Knight,C,View,Greg,$M$38
✓,Anticausal Vestige,Creature — Eldrazi,C,View,MurmurTwin,$G$44
✓,Wurmcoil Engine,Artifact Creature — Phyrexian Wurm,C,View,MurmurTwin,$G$35
✓,Myr Battlesphere,Artifact Creature — Myr Construct,C,View,arborist77,$E$44
✓,Cityscape Leveler,Artifact Creature — Construct,C,View,arborist77,$E$47
✓,Chrome Mox,Artifact,C,View,Neo,$F$9
✓,Mishra's Bauble,Artifact,C,View,Aspi,$D$17
✓,Mishra's Bauble 2,Artifact,C,View,Greg,$M$16
✓,Mishra's Bauble 3,Artifact,C,View,Greg,$M$17
✓,Mishra's Bauble 4,Artifact,C,View,Aspi,$D$18
✓,Mishra's Bauble 5,Artifact,C,View,Greg,$M$14
✓,Mishra's Bauble 6,Artifact,C,View,Greg,$M$15
✓,Mishra's Bauble 7,Artifact,C,View,Greg,$M$18
✓,Mishra's Bauble 8,Artifact,C,View,Max,$J$18
✓,Mox Opal,Legendary Artifact,C,View,Greg,$M$27
✓,Currency Converter,Artifact,C,View,Greg,$M$7
✓,Retrofitter Foundry,Artifact,C,View,LastAbzan,$I$22
✓,Soul-Guide Lantern,Artifact,C,View,baronvonfonz,$L$40
✓,Agatha's Soul Cauldron,Legendary Artifact,C,View,Mr. Fancypants,$K$30
✓,Reckoner Bankbuster,Artifact — Vehicle,C,View,Neo,$F$41
✓,Smuggler's Copter,Artifact — Vehicle,C,View,Neo,$F$6
✓,Monument to Endurance,Artifact,C,View,Max,$J$40
✓,Nettlecyst,Artifact — Equipment,C,View,Greg,$M$39
✓,Palantír of Orthanc,Legendary Artifact,C,View,Neo,$F$25
✓,The Aetherspark,Legendary Artifact Planeswalker — Equipment,C,View,Aspi,$D$40
✓,Batterskull,Artifact — Equipment,C,View,Jack,$C$34
✓,Dissection Tools,Artifact — Equipment,C,View,Jack,$C$16
✓,"Skysovereign, Consul Flagship",Legendary Artifact — Vehicle,C,View,Neo,$F$36
✓,Nexus of Becoming,Artifact,C,View,MurmurTwin,$G$37
✓,The Endstone,Legendary Artifact,C,View,Greg,$M$43
✓,"Karn, Scion of Urza",Legendary Planeswalker — Karn,C,View,Greg,$M$25
✓,Ancient Tomb,Land,C,View,Jack,$C$9
✓,Arid Mesa,Land,C,View,Greg,$M$11
✓,Arid Mesa 2,Land,C,View,Neo,$F$11
✓,Blinkmoth Nexus,Land,C,View,Jack,$C$24
✓,Bloodstained Mire,Land,C,View,arborist77,$E$9
✓,Bloodstained Mire 2,Land,C,View,baronvonfonz,$L$10
✓,Flooded Strand,Land,C,View,Max,$J$6
✓,Flooded Strand 2,Land,C,View,Max,$J$8
✓,Marsh Flats,Land,C,View,LastAbzan,$I$9
✓,Marsh Flats 2,Land,C,View,Aspi,$D$10
✓,Misty Rainforest,Land,C,View,Keith,$N$7
✓,Misty Rainforest 2,Land,C,View,Max,$J$7
✓,Mutavault,Land,C,View,Neo,$F$22
✓,Polluted Delta,Land,C,View,LastAbzan,$I$8
✓,Polluted Delta 2,Land,C,View,Max,$J$9
✓,Prismatic Vista,Land,C,View,LastAbzan,$I$10
✓,Scalding Tarn,Land,C,View,Greg,$M$6
✓,Scalding Tarn 2,Land,C,View,Keith,$N$6
✓,Strip Mine,Land,C,View,baronvonfonz,$L$4
✓,Verdant Catacombs,Land,C,View,baronvonfonz,$L$8
✓,Verdant Catacombs 2,Land,C,View,baronvonfonz,$L$9
✓,Windswept Heath,Land,C,View,Keith,$N$8
✓,Windswept Heath 2,Land,C,View,Aspi,$D$11
✓,Wooded Foothills,Land,C,View,Keith,$N$9
✓,Wooded Foothills 2,Land,C,View,Neo,$F$10
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
,,,,,,$HCV$48924
