✓,Card,Type,Color,View,Picked By,
✓,Restless Bivouac,Land,WR,View,Elfandor,$I$34
✓,Sacred Foundry,Land — Mountain Plains,WR,View,Elfandor,$I$12
✓,Sacred Foundry 2,Land — Mountain Plains,WR,View,Patrick,$D$14
,Voice of Resurgence,Creature — Elemental,WG,View,,
,Knight of Autumn,Creature — Dryad Knight,WG,View,,
,Knight of the Reliquary,Creature — Human Knight,WG,View,,
,Brightglass Gearhulk,Artifact Creature — Construct,WG,View,,
,Dromoka's Command,Instant,WG,View,,
,Cosmic Rebirth,Instant,WG,View,,
,Lush Portico,Land — Forest Plains,WG,View,,
,Razorverge Thicket,Land,WG,View,,
,Stirring Wildwood,Land,WG,View,,
✓,Temple Garden,Land — Forest Plains,WG,View,LastAbzan,$K$43
,Temple Garden 2,Land — Forest Plains,WG,View,,
✓,Invasion of Amonkhet,Battle — Siege,UB,View,Neo,$J$41
✓,Baleful Strix,Artifact Creature — Bird,UB,View,Neo,$J$31
,"Yuriko, the Tiger's Shadow",Legendary Creature — Human Ninja,UB,View,,
✓,Fallen Shinobi,Creature — Zombie Ninja,UB,View,Neo,$J$22
✓,Kaito Shizuki,Legendary Planeswalker — Kaito,UB,View,Neo,$J$42
✓,"Kaito, Bane of Nightmares",Legendary Planeswalker — Kaito,UB,View,Neo,$J$39
✓,Creeping Tar Pit,Land,UB,View,Neo,$J$40
,Darkslick Shores,Land,UB,View,,
✓,Undercity Sewers,Land — Island Swamp,UB,View,Neo,$J$32
✓,Watery Grave,Land — Island Swamp,UB,View,Neo,$J$37
✓,Watery Grave 2,Land — Island Swamp,UB,View,whalematron,$E$40
✓,Third Path Iconoclast,Creature — Human Monk,UR,View,Lame4Fame,$L$26
✓,"Lutri, the Spellchaser",Legendary Creature — Elemental Otter,UR,View,whalematron,$E$18
✓,Vivi Ornitier,Legendary Creature — Wizard,UR,View,Lame4Fame,$L$28
✓,Flame of Anor,Instant,UR,View,whalematron,$E$32
,Prismari Command,Instant,UR,View,,
,Magma Opus,Instant,UR,View,,
✓,Expressive Iteration,Sorcery,UR,View,Lame4Fame,$L$29
✓,Silverbluff Bridge,Artifact Land,UR,View,Lame4Fame,$L$30
,Talisman of Creativity,Artifact,UR,View,,
✓,"Saheeli, Sublime Artificer",Legendary Planeswalker — Saheeli,UR,View,Lame4Fame,$L$32
✓,Spirebluff Canal,Land,UR,View,whalematron,$E$22
✓,Steam Vents,Land — Island Mountain,UR,View,Lame4Fame,$L$16
✓,Steam Vents 2,Land — Island Mountain,UR,View,whalematron,$E$17
✓,Thundering Falls,Land — Island Mountain,UR,View,LastAbzan,$K$18
,Genemorph Imago,Creature — Insect Druid,UG,View,,
,Hydroid Krasis,Creature — Jellyfish Hydra Beast,UG,View,,
,Kishla Skimmer,Creature — Bird Scout,UG,View,,
✓,"Uro, Titan of Nature's Wrath",Legendary Creature — Elder Giant,UG,View,LastAbzan,$K$6
,Repulsive Mutation,Instant,UG,View,,
✓,"Tamiyo, Collector of Tales",Legendary Planeswalker — Tamiyo,UG,View,LastAbzan,$K$36
,Botanical Sanctum,Land,UG,View,,
✓,Breeding Pool,Land — Forest Island,UG,View,LastAbzan,$K$33
,Breeding Pool 2,Land — Forest Island,UG,View,,
,Hedge Maze,Land — Forest Island,UG,View,,
,Restless Vinestalk,Land,UG,View,,
✓,Bloodtithe Harvester,Creature — Vampire,BR,View,Aspi,$F$43
✓,"Kroxa, Titan of Death's Hunger",Legendary Creature — Elder Giant,BR,View,Aspi,$F$36
,"Valki, God of Lies",Legendary Creature — God,BR,View,,
,"Alesha, Who Laughs at Fate",Legendary Creature — Human Warrior,BR,View,,
✓,Carnage Interpreter,Creature — Devil Detective,BR,View,whalematron,$E$10
,"Judith, the Scourge Diva",Legendary Creature — Human Shaman,BR,View,,
,Mayhem Devil,Creature — Devil,BR,View,,
✓,Kolaghan's Command,Instant,BR,View,Aspi,$F$41
✓,Blackcleave Cliffs,Land,BR,View,Aspi,$F$33
✓,Blood Crypt,Land — Swamp Mountain,BR,View,Aspi,$F$29
✓,Blood Crypt 2,Land — Swamp Mountain,BR,View,Aspi,$F$30
✓,Raucous Theater,Land — Swamp Mountain,BR,View,Aspi,$F$34
✓,Restless Vents,Land,BR,View,Aspi,$F$35
✓,Deathrite Shaman,Creature — Elf Shaman,BG,View,LastAbzan,$K$17
,Wight of the Reliquary,Creature — Zombie Knight,BG,View,,
,Glissa Sunslayer,Legendary Creature — Phyrexian Zombie Elf,BG,View,,
✓,"Polukranos, Unchained",Legendary Creature — Zombie Hydra,BG,View,Keith,$H$20
,The Gitrog Monster,Legendary Creature — Frog Horror,BG,View,,
,Tear Asunder,Instant,BG,View,,
✓,Life // Death,Sorcery,BG,View,Aspi,$F$22
,"Grist, the Hunger Tide",Legendary Planeswalker — Grist,BG,View,,
,Blooming Marsh,Land,BG,View,,
✓,Overgrown Tomb,Land — Swamp Forest,BG,View,Keith,$H$22
,Overgrown Tomb 2,Land — Swamp Forest,BG,View,,
,Restless Cottage,Land,BG,View,,
,Underground Mortuary,Land — Swamp Forest,BG,View,,
✓,Territorial Kavu,Creature — Kavu,RG,View,LastAbzan,$K$41
,"Migloz, Maze Crusher",Legendary Creature — Phyrexian Beast,RG,View,,
,Bloodbraid Elf,Creature — Elf Berserker,RG,View,,
,Huntmaster of the Fells,Creature — Human Werewolf,RG,View,,
,"Etali, Primal Conqueror",Legendary Creature — Elder Dinosaur,RG,View,,
,Escape to the Wilds,Sorcery,RG,View,,
✓,Wrenn and Six,Legendary Planeswalker — Wrenn,RG,View,LastAbzan,$K$38
,Commercial District,Land — Mountain Forest,RG,View,,
,Copperline Gorge,Land,RG,View,,
,Raging Ravine,Land,RG,View,,
✓,Stomping Ground,Land — Mountain Forest,RG,View,LastAbzan,$K$34
,Stomping Ground 2,Land — Mountain Forest,RG,View,,
,"Raffine, Scheming Seer",Legendary Creature — Sphinx Demon,WUB,View,,
✓,Noble Hierarch,Creature — Human Druid,WUG,View,LastAbzan,$K$5
✓,Norman Osborn,Legendary Creature — Human Scientist Villain,UBR,View,whalematron,$E$15
✓,"Loot, the Pathfinder",Legendary Creature — Beast Noble,URG,View,LastAbzan,$K$42
✓,Ignoble Hierarch,Creature — Goblin Shaman,BRG,View,Keith,$H$6
,"Korvold, Fae-Cursed King",Legendary Creature — Dragon Noble,BRG,View,,
,"Golos, Tireless Pilgrim",Legendary Artifact Creature — Scout,WUBRG,View,,
✓,Gingerbrute,Artifact Creature — Food Golem,C,View,Patrick,$D$26
,"Syr Ginger, the Meal Ender",Legendary Artifact Creature — Food Knight,C,View,,
✓,Anticausal Vestige,Creature — Eldrazi,C,View,Keith,$H$28
✓,Wurmcoil Engine,Artifact Creature — Phyrexian Wurm,C,View,Keith,$H$30
,Myr Battlesphere,Artifact Creature — Myr Construct,C,View,,
✓,Cityscape Leveler,Artifact Creature — Construct,C,View,Keith,$H$33
✓,Chrome Mox,Artifact,C,View,Patrick,$D$8
✓,Mishra's Bauble,Artifact,C,View,Aspi,$F$11
✓,Mox Opal,Legendary Artifact,C,View,Lame4Fame,$L$25
✓,Currency Converter,Artifact,C,View,whalematron,$E$7
✓,Retrofitter Foundry,Artifact,C,View,Lame4Fame,$L$15
✓,Soul-Guide Lantern,Artifact,C,View,Lame4Fame,$L$21
✓,Agatha's Soul Cauldron,Legendary Artifact,C,View,whalematron,$E$14
✓,Reckoner Bankbuster,Artifact — Vehicle,C,View,Aspi,$F$37
✓,Smuggler's Copter,Artifact — Vehicle,C,View,whalematron,$E$6
,Coalition Relic,Artifact,C,View,,
✓,Monument to Endurance,Artifact,C,View,whalematron,$E$43
,Nettlecyst,Artifact — Equipment,C,View,,
✓,Palantír of Orthanc,Legendary Artifact,C,View,Keith,$H$17
✓,The Aetherspark,Legendary Artifact Planeswalker — Equipment,C,View,Patrick,$D$31
✓,Batterskull,Artifact — Equipment,C,View,Patrick,$D$32
✓,Dissection Tools,Artifact — Equipment,C,View,Greg Sobetski,$G$17
,"Skysovereign, Consul Flagship",Legendary Artifact — Vehicle,C,View,,
,Nexus of Becoming,Artifact,C,View,,
✓,The Endstone,Legendary Artifact,C,View,Keith,$H$18
✓,"Karn, Scion of Urza",Legendary Planeswalker — Karn,C,View,Lame4Fame,$L$37
✓,Ancient Tomb,Land,C,View,Patrick,$D$6
✓,Arid Mesa,Land,C,View,Elfandor,$I$14
✓,Arid Mesa 2,Land,C,View,Drew,$C$15
✓,Blinkmoth Nexus,Land,C,View,Drew,$C$42
✓,Bloodstained Mire,Land,C,View,Aspi,$F$13
✓,Bloodstained Mire 2,Land,C,View,Aspi,$F$12
✓,Field of the Dead,Land,C,View,LastAbzan,$K$39
✓,Flooded Strand,Land,C,View,Drew,$C$10
✓,Flooded Strand 2,Land,C,View,Lame4Fame,$L$10
✓,Marsh Flats,Land,C,View,Elfandor,$I$16
✓,Marsh Flats 2,Land,C,View,Patrick,$D$17
✓,Misty Rainforest,Land,C,View,LastAbzan,$K$11
✓,Misty Rainforest 2,Land,C,View,LastAbzan,$K$15
✓,Mutavault,Land,C,View,Elfandor,$I$36
✓,Polluted Delta,Land,C,View,Neo,$J$12
✓,Polluted Delta 2,Land,C,View,Neo,$J$13
✓,Prismatic Vista,Land,C,View,Lame4Fame,$L$17
✓,Scalding Tarn,Land,C,View,whalematron,$E$12
✓,Scalding Tarn 2,Land,C,View,whalematron,$E$13
✓,Strip Mine,Land,C,View,Elfandor,$I$4
✓,Verdant Catacombs,Land,C,View,LastAbzan,$K$14
✓,Verdant Catacombs 2,Land,C,View,Keith,$H$19
✓,Windswept Heath,Land,C,View,LastAbzan,$K$16
✓,Windswept Heath 2,Land,C,View,Patrick,$D$16
✓,Wooded Foothills,Land,C,View,LastAbzan,$K$12
✓,Wooded Foothills 2,Land,C,View,LastAbzan,$K$19
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
,,,,,,$LHH$58455
